"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Variation %"
"07/05/2021","0,051","0,061","0,063","0,048","-3,77%"
"06/05/2021","0,053","0,053","0,061","0,051","-5,36%"
"05/05/2021","0,056","0,071","0,071","0,051","0,00%"
"04/05/2021","0,056","0,056","0,058","0,056","0,00%"
"03/05/2021","0,056","0,051","0,061","0,051","10,45%"
"02/05/2021","0,051","0,051","0,051","0,051","-4,34%"
"30/04/2021","0,053","0,058","0,063","0,051","3,92%"
"29/04/2021","0,051","0,063","0,068","0,051","-3,77%"
"28/04/2021","0,053","0,063","0,066","0,051","-8,62%"
"27/04/2021","0,058","0,061","0,068","0,056","-4,92%"
"26/04/2021","0,061","0,061","0,068","0,061","0,00%"
"25/04/2021","0,061","0,061","0,061","0,061","0,00%"
"23/04/2021","0,061","0,066","0,076","0,061","-3,17%"
"22/04/2021","0,063","0,066","0,076","0,061","0,00%"
"21/04/2021","0,063","0,073","0,076","0,063","8,62%"
"20/04/2021","0,058","0,063","0,071","0,056","-4,92%"
"19/04/2021","0,061","0,063","0,071","0,061","-7,44%"
"18/04/2021","0,066","0,066","0,066","0,066","4,60%"
"16/04/2021","0,063","0,066","0,068","0,063","0,00%"
"15/04/2021","0,063","0,068","0,073","0,061","3,28%"
"14/04/2021","0,061","0,068","0,071","0,061","0,00%"
"13/04/2021","0,061","0,068","0,073","0,061","-7,58%"
"12/04/2021","0,066","0,066","0,068","0,061","8,37%"
"11/04/2021","0,061","0,061","0,061","0,061","5,00%"
"09/04/2021","0,058","0,063","0,066","0,056","3,57%"
"08/04/2021","0,056","0,066","0,066","0,053","-3,45%"
"07/04/2021","0,058","0,056","0,063","0,056","3,57%"
"06/04/2021","0,056","0,061","0,063","0,056","-8,20%"
"05/04/2021","0,061","0,076","0,079","0,061","-10,95%"
"04/04/2021","0,068","0,068","0,068","0,068","0,00%"
"02/04/2021","0,068","0,061","0,071","0,061","8,73%"
"01/04/2021","0,063","0,068","0,071","0,061","0,00%"
"31/03/2021","0,063","0,068","0,071","0,058","3,28%"
